case_id,category,role,sql,expected_rows,reference,mode,status,actual_rows,error,comparison
syntax_literal_select,sql_literal_source,superadmin,"SELECT 42 AS answer, CAST(NULL AS INTEGER) AS missing, TRUE AS flag",1,pass,pruned,fail,,"ValueError: this query reads no table; SuperTable executes reads against its own tables only, so table-free SELECTs (literal projections, literal UNIONs, and CTEs built only from literals) are not supported","{""kind"": ""unexpected_error"", ""expected_error_contains"": []}"
syntax_literal_select,sql_literal_source,superadmin,"SELECT 42 AS answer, CAST(NULL AS INTEGER) AS missing, TRUE AS flag",1,pass,fullscan,fail,,"ValueError: this query reads no table; SuperTable executes reads against its own tables only, so table-free SELECTs (literal projections, literal UNIONs, and CTEs built only from literals) are not supported","{""kind"": ""unexpected_error"", ""expected_error_contains"": []}"
syntax_literal_select,sql_literal_source,superadmin,"SELECT 42 AS answer, CAST(NULL AS INTEGER) AS missing, TRUE AS flag",1,pass,stream,fail,,"ValueError: this query reads no table; SuperTable executes reads against its own tables only, so table-free SELECTs (literal projections, literal UNIONs, and CTEs built only from literals) are not supported","{""kind"": ""unexpected_error"", ""expected_error_contains"": []}"
syntax_literal_select,sql_literal_source,superadmin,"SELECT 42 AS answer, CAST(NULL AS INTEGER) AS missing, TRUE AS flag",1,pass,auto,fail,,"ValueError: this query reads no table; SuperTable executes reads against its own tables only, so table-free SELECTs (literal projections, literal UNIONs, and CTEs built only from literals) are not supported","{""kind"": ""unexpected_error"", ""expected_error_contains"": []}"
syntax_literal_select,sql_literal_source,superadmin,"SELECT 42 AS answer, CAST(NULL AS INTEGER) AS missing, TRUE AS flag",1,pass,query_sql,fail,,"ValueError: this query reads no table; SuperTable executes reads against its own tables only, so table-free SELECTs (literal projections, literal UNIONs, and CTEs built only from literals) are not supported","{""kind"": ""unexpected_error"", ""expected_error_contains"": []}"
syntax_literal_select_semicolon,sql_literal_source,superadmin,SELECT 6 * 7 AS answer;,1,pass,pruned,fail,,"ValueError: this query reads no table; SuperTable executes reads against its own tables only, so table-free SELECTs (literal projections, literal UNIONs, and CTEs built only from literals) are not supported","{""kind"": ""unexpected_error"", ""expected_error_contains"": []}"
syntax_literal_select_semicolon,sql_literal_source,superadmin,SELECT 6 * 7 AS answer;,1,pass,fullscan,fail,,"ValueError: this query reads no table; SuperTable executes reads against its own tables only, so table-free SELECTs (literal projections, literal UNIONs, and CTEs built only from literals) are not supported","{""kind"": ""unexpected_error"", ""expected_error_contains"": []}"
syntax_literal_select_semicolon,sql_literal_source,superadmin,SELECT 6 * 7 AS answer;,1,pass,stream,fail,,"ValueError: this query reads no table; SuperTable executes reads against its own tables only, so table-free SELECTs (literal projections, literal UNIONs, and CTEs built only from literals) are not supported","{""kind"": ""unexpected_error"", ""expected_error_contains"": []}"
syntax_literal_select_semicolon,sql_literal_source,superadmin,SELECT 6 * 7 AS answer;,1,pass,auto,fail,,"ValueError: this query reads no table; SuperTable executes reads against its own tables only, so table-free SELECTs (literal projections, literal UNIONs, and CTEs built only from literals) are not supported","{""kind"": ""unexpected_error"", ""expected_error_contains"": []}"
syntax_literal_select_semicolon,sql_literal_source,superadmin,SELECT 6 * 7 AS answer;,1,pass,query_sql,fail,,"ValueError: this query reads no table; SuperTable executes reads against its own tables only, so table-free SELECTs (literal projections, literal UNIONs, and CTEs built only from literals) are not supported","{""kind"": ""unexpected_error"", ""expected_error_contains"": []}"
syntax_literal_cte,sql_literal_source,superadmin,"WITH constants AS (SELECT 6 AS n, 7 AS m) SELECT n * m AS answer FROM constants",1,pass,pruned,fail,,"ValueError: this query reads no table; SuperTable executes reads against its own tables only, so table-free SELECTs (literal projections, literal UNIONs, and CTEs built only from literals) are not supported","{""kind"": ""unexpected_error"", ""expected_error_contains"": []}"
